Sec,RollNo,Dept,Aptitude_Score,Mock_Interview_Score,Problems_Solved,Hackathon_Count,Technical_Test_Score,Resume_Score,Projects_Count,Placement_Probabilities,Placement_Readiness
A,21ME0001,EEE,65,92,96,5,48,40,5,54.56,Not Ready
D,21IT0002,IT,95,70,22,1,82,62,0,53.38,Not Ready
B,21ME0003,EEE,87,61,359,0,58,94,4,64.56,Not Ready
A,21CS0004,ME,77,92,252,8,83,81,7,76.8,Ready
D,21EC0005,ME,72,43,199,1,62,96,3,52.74,Not Ready
D,21EC0006,CSE,89,76,270,6,66,94,4,71.6,Ready
D,21EE0007,ME,51,55,327,9,54,55,4,59.38,Not Ready
D,21EE0008,IT,45,67,292,4,60,72,2,55.53,Not Ready
B,21IT0009,EEE,56,86,45,3,45,85,7,52.82,Not Ready
D,21ME0010,ECE,80,96,18,8,41,63,5,59.5,Not Ready
B,21ME0011,CSE,52,47,214,8,59,84,2,54.86,Not Ready
C,21ME0012,IT,88,77,286,4,86,69,0,68.24,Not Ready
A,21IT0013,ME,63,95,147,2,44,98,7,60.26,Not Ready
D,21IT0014,ME,83,52,448,1,44,77,5,63.35,Not Ready
C,21ME0015,ECE,65,78,366,8,97,70,3,74.67,Ready
A,21CS0016,IT,80,57,286,1,76,42,7,59.82,Not Ready
A,21IT0017,CSE,82,44,204,4,79,65,6,59.46,Not Ready
A,21EE0018,CSE,41,54,39,3,79,66,1,42.64,Not Ready
C,21CS0019,EEE,65,86,423,8,96,81,0,77.62,Ready
B,21EC0020,ECE,62,47,89,3,54,75,4,46.46,Not Ready
C,21ME0021,EEE,41,49,429,6,98,90,3,66.74,Not Ready
D,21EE0022,ME,95,41,482,3,74,87,0,69.28,Not Ready
D,21EE0023,ECE,53,60,277,1,60,44,7,52.46,Not Ready
C,21EE0024,EEE,61,94,1,9,69,59,4,58.79,Not Ready
A,21EE0025,EEE,78,44,123,0,44,90,1,45.54,Not Ready
B,21ME0026,EEE,75,77,178,8,46,86,5,64.14,Not Ready
B,21EE0027,ME,98,40,409,8,61,52,5,69.44,Not Ready
B,21EE0028,ECE,72,68,96,7,96,82,5,64.56,Not Ready
B,21CS0029,ME,55,70,134,7,43,69,1,51.34,Not Ready
A,21IT0030,EEE,94,79,18,6,99,62,3,64.24,Not Ready
B,21EC0031,IT,47,70,475,0,52,61,4,58.8,Not Ready
A,21ME0032,IT,95,95,176,4,97,95,4,75.59,Ready
D,21EC0033,ECE,49,84,49,7,53,79,1,52.04,Not Ready
A,21EC0034,ECE,49,81,153,5,71,77,4,57.97,Not Ready
D,21IT0035,EEE,65,90,33,7,97,85,7,66.74,Not Ready
B,21ME0036,EEE,90,82,223,3,65,69,7,67.34,Not Ready
C,21CS0037,ECE,67,76,11,5,56,60,2,49.69,Not Ready
D,21IT0038,CSE,93,64,241,8,85,45,1,66.92,Not Ready
D,21EE0039,CSE,64,61,66,9,77,69,6,58.84,Not Ready
A,21EE0040,ECE,74,57,217,5,73,42,6,58.78,Not Ready
C,21EC0041,CSE,85,47,252,2,63,56,1,54.15,Not Ready
D,21CS0042,IT,64,66,396,9,93,74,4,74.69,Ready
A,21EC0043,IT,55,74,414,8,45,85,1,66.24,Not Ready
B,21EE0044,ME,42,99,334,3,40,86,6,62.91,Not Ready
D,21ME0045,ME,84,77,404,1,57,79,1,66.44,Not Ready
B,21IT0046,CSE,44,80,301,7,84,80,4,66.94,Not Ready
D,21CS0047,IT,47,99,90,2,96,68,0,56,Not Ready
D,21IT0048,ME,65,79,286,0,60,49,1,54.76,Not Ready
C,21IT0049,CSE,54,92,219,4,75,50,0,58.21,Not Ready
D,21EC0050,EEE,69,43,96,0,65,96,4,48.09,Not Ready
A,21EE0051,EEE,61,88,421,3,54,82,7,70.32,Ready
B,21CS0052,CSE,52,63,44,8,67,69,5,52.83,Not Ready
B,21IT0053,ECE,58,97,54,0,61,97,0,52.01,Not Ready
B,21CS0054,ME,94,49,222,4,88,51,5,62.91,Not Ready
D,21CS0055,CSE,88,76,383,2,50,53,2,64.17,Not Ready
A,21EE0056,EEE,86,86,265,5,46,84,1,65.92,Not Ready
D,21IT0057,CSE,51,85,216,2,81,48,7,59.17,Not Ready
C,21CS0058,CSE,77,77,213,2,52,54,6,58.27,Not Ready
A,21CS0059,IT,51,70,138,7,85,93,2,60.02,Not Ready
D,21IT0060,CSE,41,61,95,1,89,83,5,49.98,Not Ready
D,21IT0061,CSE,55,75,430,9,80,67,0,70.9,Ready
C,21IT0062,EEE,92,44,353,2,74,46,4,61.52,Not Ready
D,21EC0063,IT,56,59,130,8,41,40,7,50.72,Not Ready
C,21IT0064,CSE,67,46,380,5,88,82,1,64.82,Not Ready
D,21EE0065,ME,53,94,239,0,74,58,6,59.61,Not Ready
A,21CS0066,ME,79,98,391,7,45,94,6,77.94,Ready
C,21EC0067,ECE,71,64,125,8,54,97,6,61.55,Not Ready
A,21IT0068,IT,76,76,217,2,54,72,6,60.13,Not Ready
A,21ME0069,IT,49,49,391,4,50,54,2,53.39,Not Ready
A,21EC0070,IT,79,79,9,6,80,43,2,55.51,Not Ready
B,21EC0071,ECE,57,77,415,8,46,71,6,69.15,Not Ready
B,21EC0072,ECE,86,48,175,3,72,67,0,54.3,Not Ready
C,21EC0073,EEE,48,72,290,1,45,87,7,56.42,Not Ready
A,21CS0074,CSE,76,91,243,7,53,58,7,68.24,Not Ready
A,21CS0075,EEE,74,58,200,6,95,59,0,60.55,Not Ready
B,21EC0076,EEE,83,63,55,0,53,54,2,46,Not Ready
D,21ME0077,IT,47,54,318,1,85,87,4,57.87,Not Ready
A,21IT0078,ECE,98,49,416,8,92,54,6,76.99,Ready
B,21EC0079,ME,75,80,172,7,72,50,6,64.43,Not Ready
C,21EC0080,ECE,98,97,101,3,67,60,3,63.96,Not Ready
C,21IT0081,ECE,65,85,30,6,78,90,2,59.15,Not Ready
D,21CS0082,CSE,51,74,93,5,82,41,7,54.5,Not Ready
A,21EC0083,ME,74,43,478,7,65,91,2,69.62,Not Ready
B,21EC0084,EEE,63,80,221,3,66,89,3,61.12,Not Ready
